BAIRRO;QDE_LANCAMENTOS;VALOR_TOTAL_LANCADO
VILA ANTENA MONTANHES;15;13.257,26
CAPITAO EDUARDO;15;476.269,07
VILA DA PAZ;14;14.915,63
VILA JARDIM LEBLON;14;11.866,58
NOVO OURO PRETO;14;9.335,43
SAO JORGE II;13;8.132,53
LORENA;13;5.985,81
LARANJEIRAS;13;18.023,77
VILA CEMIG;13;13.281,03
VILA MADRE GERTRUDES I;13;43.432,69
VILA INDEPENDENCIA IV;12;8.894,22
NOSSA SENHORA DA APARECIDA;12;15.146,80
CAETANO FURQUIM;12;6.199,49
VILA CALAFATE;12;29.866,29
VILA ENGENHO NOGUEIRA;12;23.027,42
PANTANAL;11;18.312,59
BEIJA FLOR;11;16.230,47
CONJUNTO MINASCAIXA;11;7.620,60
SAO FRANCISCO DAS CHAGAS;10;18.339,57
VILA MALOCA;10;5.766,68
SAO JORGE I;10;7.503,14
ANTONIO RIBEIRO DE ABREU;9;10.485,01
VILA MARIA;9;5.751,10
CONJUNTO PROVIDENCIA;9;15.445,32
VILA SANTA MONICA;9;6.434,73
VILA NOVA CACHOEIRINHA IV;9;21.799,02
ZILAH SPOSITO;9;3.668,90
CONFISCO;9;5.221,39
CHACARA LEONINA;9;15.118,41
VILA PARAISO;8;4.545,44
TRES MARIAS;8;18.851,39
BARAO HOMEM DE MELO III;8;5.849,74
VISTA DO SOL;8;9.707,32
VILA PIRATININGA VENDA NOVA;8;2.709,36
VILA BOA VISTA;8;7.708,58
SUMARE;8;703.758,01
VILA REAL II;8;11.148,10
SAO JORGE III;8;16.583,78
GROTA;8;13.969,80
VILA IPIRANGA;8;16.248,62
SANTA SOFIA;8;27.349,24
GUARATA;8;5.006,62
VILA DA AMIZADE;8;23.159,76
NOVO AARAO REIS;7;4.221,50
CONJUNTO JARDIM FILADELFIA;7;7.121,38
VILA NOSSA SENHORA DO ROSARIO;7;8.558,58
CONJUNTO CAPITAO EDUARDO;6;3.221,17
VILA SATELITE;6;3.418,91
VILA DIAS;6;5.361,93
VILA DO POMBAL;6;16.373,92
SANTA ISABEL;5;3.853,62
BALEIA;5;106.583,26
VILA SAO RAFAEL;5;6.768,04
CONJUNTO BONSUCESSO;5;1.303,72
VILA INDEPENDENCIA I;5;9.935,06
MARCOLA;5;3.386,70
JOAO ALFREDO;5;3.733,97
VILA SUZANA I;5;31.673,91
VARZEA DA PALMA;5;4.542,80
DELTA;5;3.421,66
VILA PAQUETA;4;7.930,58
VILA NOVA GAMELEIRA I;4;2.059,37
BOA UNIAO II;4;2.542,28
VILA SAO DIMAS;4;7.185,74
VILA REAL I;4;7.003,69
VILA SANTA ROSA;4;2.009,44
MARIA TERESA;4;461.586,31
VILA NOSSA SENHORA APARECIDA;4;5.142,51
SANTA RITA DE CASSIA;4;7.855,18
VILA NOVA CACHOEIRINHA II;4;2.595,14
VILA INESTAN;4;5.905,52
APIA;4;7.269,14
CONEGO PINHEIRO;4;5.596,36
VILA HAVAI;3;1.853,32
VILA CALIFORNIA;3;2.360,13
TIRADENTES;3;3.330,08
VILA MANGUEIRAS;3;4.381,95
NOVA AMERICA;3;2.813,93
BELEM (Desativado);3;3.042,74
