,address,adm-fees,garage_places,price,rooms,square_foot,neighborhood,city,latitude,longitude,qde_lancamentos,vl_lancado,vl_medio_iptu
71,Rua Coronel Antônio Lopes Coelho ,10.0,1,205900.0,2,60,vila jardim leblon, Belo Horizonte ,-19.8254968,-43.9863408,14.0,11866.58,847.6128571428571
72,"Rua Professor Kalman Sibalszky, 145 ",1030.0,3,1700000.0,3,200,garcas, Belo Horizonte ,-19.8408604,-43.9993629,632.0,2635260.85,4169.716534810127
73,"Rua Radialista Sheila Jordani, 11 ",,3,950000.0,3,300,garcas, Belo Horizonte ,-19.8316021,-43.9985402,632.0,2635260.85,4169.716534810127
74,"Rua Carlos Henrique Lange, 307 ",,40,13000.0,4,400,garcas, Belo Horizonte ,-19.843834,-43.9955128,632.0,2635260.85,4169.716534810127
75,Rua Professor Kalman Sibalszky ,975.0,4,1700000.0,3,140,garcas, Belo Horizonte ,-19.8408604,-43.9993629,632.0,2635260.85,4169.716534810127
76,Rua Póvoa de Varzim ,275.0,1,190000.0,2,48,paqueta, Belo Horizonte ,-19.8700528,-43.9935356,4173.0,9039457.76,2166.177272945123
77,"Nova Vista, Sabará ",,1,250000.0,2,66,nova vista,Belo Horizonte,-19.8887768,-43.8975046,1848.0,3825227.77,2069.928446969697
78,"Avenida Portugal, 1333 ",,--,1280000.0,--,1200,jardim atlantico, Belo Horizonte ,-19.8425871,-43.9698185,999.0,5062965.53,5068.033563563564
79,"Rua Istambul, 20 ",800.0,3,1500000.0,3,143,trevo, Belo Horizonte ,-19.8422054,-44.0055835,1923.0,3909867.98,2033.212678107124
80,Rua Beija,,2,480000.0,3,85,planalto,Belo Horizonte,-19.8288031,-43.9499607,6925.0,17624799.13,2545.097347292419
81,Rua Feliciano Ribeiro ,,2,450000.0,3,70,rio branco, Belo Horizonte ,-19.8146891,-43.9780826,3388.0,5343718.83,1577.24876918536
82,"Rua Francisco Serrano Neves, 91 ",,2,539000.0,3,102,santa amelia, Belo Horizonte ,-19.842605,-43.9802164,9089.0,14456153.5,1590.5108922873803
83,Rua Noraldino Lima ,200.0,1,300000.0,3,60,aeroporto, Belo Horizonte ,-19.8583868,-43.9590447,1202.0,2801311.49,2330.5420049916806
84,"Rua Noraldino Lima, 389 ",292.0,1,295000.0,3,62,aeroporto, Belo Horizonte ,-19.8583868,-43.9590447,1202.0,2801311.49,2330.5420049916806
85,Rua Eugênio Sales ,,1,500000.0,3,92,copacabana, Belo Horizonte ,-19.839863,-43.9888542,4065.0,5532715.68,1361.061667896679
86,Rua Cairo ,120.0,2,320000.0,2,85,copacabana, Belo Horizonte ,-19.8379091,-43.9882748,4065.0,5532715.68,1361.061667896679
87,Rua Central ,200.0,1,350000.0,2,55,copacabana, Belo Horizonte ,-19.840091,-43.9870552,4065.0,5532715.68,1361.061667896679
88,Rua Serra da Água Quente ,1.0,20,4800000.0,1,3637,vale do jatoba, Belo Horizonte ,-20.0044552,-44.0276728,1005.0,1592360.44,1584.4382487562189
89,Rua Geraldo Pongellupe ,10.0,1,250000.0,2,50,jardim dos comerciarios, Belo Horizonte ,-19.7991288,-43.9767419,2951.0,4731337.73,1603.2998068451377
90,Rua Marrocos ,,--,200000.0,3,61,jardim leblon, Belo Horizonte ,-19.8245577,-43.9930228,1958.0,2777473.23,1418.5256537282942
91,"Rua João Calvino, 76 ",,10,850000.0,5,1000,sao joao batista, Belo Horizonte ,-19.8179098,-43.9705903,6256.0,10075970.74,1610.6091336317136
92,Rua Severiano Martins Pereira ,200.0,1,150000.0,2,50,diamante, Belo Horizonte ,-19.9934716,-44.0177747,4612.0,7485899.34,1623.1351561144838
93,Rua Pedra Lunar ,10.0,1,350000.0,3,70,leticia, Belo Horizonte ,-19.8121976,-43.9824998,1797.0,3434258.1,1911.1063439065108
94,"Rua Padre Leopoldo Mertens, 1542 ",,1,160000.0,2,50,sao francisco, Belo Horizonte ,-19.8714273,-43.954594,1708.0,8367291.61,4898.8826756440285
